Max internal event=4
Max clock speed=6
Machine 1 initialized. Clock rate=3
[INTERNAL] SystemTime=1741155911.3687, LogicalClock=1, Info=old_clock=0
[RECEIVE] SystemTime=1741155938.0321, LogicalClock=138, Info=From=2, SenderClock=137, QueueSizeAfter=11, OldLocalClock=137
[RECEIVE] SystemTime=1741155938.3713, LogicalClock=139, Info=From=2, SenderClock=138, QueueSizeAfter=12, OldLocalClock=138
[RECEIVE] SystemTime=1741155938.7083, LogicalClock=140, Info=From=2, SenderClock=139, QueueSizeAfter=12, OldLocalClock=139
[RECEIVE] SystemTime=1741155939.0459, LogicalClock=141, Info=From=2, SenderClock=140, QueueSizeAfter=12, OldLocalClock=140
[RECEIVE] SystemTime=1741155939.3816, LogicalClock=142, Info=From=2, SenderClock=141, QueueSizeAfter=12, OldLocalClock=141
[RECEIVE] SystemTime=1741155939.7213, LogicalClock=143, Info=From=2, SenderClock=142, QueueSizeAfter=12, OldLocalClock=142
[RECEIVE] SystemTime=1741155940.0610, LogicalClock=144, Info=From=2, SenderClock=143, QueueSizeAfter=12, OldLocalClock=143
[RECEIVE] SystemTime=1741155940.3997, LogicalClock=148, Info=From=2, SenderClock=147, QueueSizeAfter=12, OldLocalClock=144
[RECEIVE] SystemTime=1741155940.7387, LogicalClock=150, Info=From=2, SenderClock=149, QueueSizeAfter=12, OldLocalClock=148
[RECEIVE] SystemTime=1741155941.0769, LogicalClock=152, Info=From=2, SenderClock=151, QueueSizeAfter=11, OldLocalClock=150
[RECEIVE] SystemTime=1741155941.4125, LogicalClock=154, Info=From=2, SenderClock=153, QueueSizeAfter=11, OldLocalClock=152
[RECEIVE] SystemTime=1741155941.7480, LogicalClock=156, Info=From=2, SenderClock=155, QueueSizeAfter=11, OldLocalClock=154
[RECEIVE] SystemTime=1741155942.0873, LogicalClock=157, Info=From=2, SenderClock=156, QueueSizeAfter=11, OldLocalClock=156
[RECEIVE] SystemTime=1741155942.4247, LogicalClock=158, Info=From=2, SenderClock=157, QueueSizeAfter=12, OldLocalClock=157
[RECEIVE] SystemTime=1741155942.7607, LogicalClock=160, Info=From=2, SenderClock=159, QueueSizeAfter=13, OldLocalClock=158
[RECEIVE] SystemTime=1741155943.1005, LogicalClock=161, Info=From=2, SenderClock=160, QueueSizeAfter=13, OldLocalClock=160
[RECEIVE] SystemTime=1741155943.4382, LogicalClock=164, Info=From=2, SenderClock=163, QueueSizeAfter=12, OldLocalClock=161
[RECEIVE] SystemTime=1741155943.7772, LogicalClock=166, Info=From=2, SenderClock=165, QueueSizeAfter=13, OldLocalClock=164
[RECEIVE] SystemTime=1741155944.1116, LogicalClock=168, Info=From=2, SenderClock=167, QueueSizeAfter=12, OldLocalClock=166
[RECEIVE] SystemTime=1741155944.4485, LogicalClock=169, Info=From=2, SenderClock=168, QueueSizeAfter=13, OldLocalClock=168
[RECEIVE] SystemTime=1741155944.7840, LogicalClock=172, Info=From=2, SenderClock=171, QueueSizeAfter=12, OldLocalClock=169
[RECEIVE] SystemTime=1741155945.1227, LogicalClock=176, Info=From=2, SenderClock=175, QueueSizeAfter=12, OldLocalClock=172
[RECEIVE] SystemTime=1741155945.4623, LogicalClock=178, Info=From=2, SenderClock=177, QueueSizeAfter=13, OldLocalClock=176
[RECEIVE] SystemTime=1741155945.7987, LogicalClock=180, Info=From=2, SenderClock=179, QueueSizeAfter=12, OldLocalClock=178
[RECEIVE] SystemTime=1741155946.1360, LogicalClock=181, Info=From=2, SenderClock=180, QueueSizeAfter=11, OldLocalClock=180
[RECEIVE] SystemTime=1741155946.4756, LogicalClock=182, Info=From=2, SenderClock=181, QueueSizeAfter=12, OldLocalClock=181
[RECEIVE] SystemTime=1741155946.8116, LogicalClock=183, Info=From=2, SenderClock=182, QueueSizeAfter=12, OldLocalClock=182
[RECEIVE] SystemTime=1741155947.1495, LogicalClock=184, Info=From=2, SenderClock=183, QueueSizeAfter=12, OldLocalClock=183
[RECEIVE] SystemTime=1741155947.4880, LogicalClock=185, Info=From=2, SenderClock=184, QueueSizeAfter=12, OldLocalClock=184
[RECEIVE] SystemTime=1741155947.8275, LogicalClock=189, Info=From=2, SenderClock=188, QueueSizeAfter=13, OldLocalClock=185
[RECEIVE] SystemTime=1741155948.1673, LogicalClock=190, Info=From=2, SenderClock=189, QueueSizeAfter=13, OldLocalClock=189
[RECEIVE] SystemTime=1741155948.5042, LogicalClock=193, Info=From=2, SenderClock=192, QueueSizeAfter=14, OldLocalClock=190
[RECEIVE] SystemTime=1741155948.8438, LogicalClock=194, Info=From=2, SenderClock=193, QueueSizeAfter=14, OldLocalClock=193
[RECEIVE] SystemTime=1741155949.1793, LogicalClock=197, Info=From=2, SenderClock=196, QueueSizeAfter=13, OldLocalClock=194
[RECEIVE] SystemTime=1741155949.5190, LogicalClock=198, Info=From=2, SenderClock=197, QueueSizeAfter=13, OldLocalClock=197
[RECEIVE] SystemTime=1741155949.8586, LogicalClock=199, Info=From=2, SenderClock=198, QueueSizeAfter=13, OldLocalClock=198
[RECEIVE] SystemTime=1741155950.1966, LogicalClock=204, Info=From=2, SenderClock=203, QueueSizeAfter=12, OldLocalClock=199
[RECEIVE] SystemTime=1741155950.5315, LogicalClock=205, Info=From=2, SenderClock=204, QueueSizeAfter=11, OldLocalClock=204
[RECEIVE] SystemTime=1741155950.8709, LogicalClock=206, Info=From=2, SenderClock=205, QueueSizeAfter=11, OldLocalClock=205
[RECEIVE] SystemTime=1741155951.2105, LogicalClock=209, Info=From=2, SenderClock=208, QueueSizeAfter=11, OldLocalClock=206
[RECEIVE] SystemTime=1741155951.5486, LogicalClock=210, Info=From=2, SenderClock=209, QueueSizeAfter=12, OldLocalClock=209
[RECEIVE] SystemTime=1741155951.8878, LogicalClock=212, Info=From=2, SenderClock=211, QueueSizeAfter=11, OldLocalClock=210
[RECEIVE] SystemTime=1741155952.2254, LogicalClock=213, Info=From=2, SenderClock=212, QueueSizeAfter=10, OldLocalClock=212
[RECEIVE] SystemTime=1741155952.5648, LogicalClock=214, Info=From=2, SenderClock=213, QueueSizeAfter=10, OldLocalClock=213
[RECEIVE] SystemTime=1741155952.9019, LogicalClock=216, Info=From=2, SenderClock=215, QueueSizeAfter=10, OldLocalClock=214
[RECEIVE] SystemTime=1741155953.2407, LogicalClock=217, Info=From=2, SenderClock=216, QueueSizeAfter=10, OldLocalClock=216
[RECEIVE] SystemTime=1741155953.5795, LogicalClock=218, Info=From=2, SenderClock=217, QueueSizeAfter=10, OldLocalClock=217
[RECEIVE] SystemTime=1741155953.9141, LogicalClock=223, Info=From=2, SenderClock=222, QueueSizeAfter=9, OldLocalClock=218
[RECEIVE] SystemTime=1741155954.2528, LogicalClock=225, Info=From=2, SenderClock=224, QueueSizeAfter=9, OldLocalClock=223
[RECEIVE] SystemTime=1741155954.5917, LogicalClock=230, Info=From=2, SenderClock=229, QueueSizeAfter=10, OldLocalClock=225
[RECEIVE] SystemTime=1741155954.9271, LogicalClock=233, Info=From=2, SenderClock=232, QueueSizeAfter=9, OldLocalClock=230
[RECEIVE] SystemTime=1741155955.2615, LogicalClock=234, Info=From=2, SenderClock=233, QueueSizeAfter=9, OldLocalClock=233
[RECEIVE] SystemTime=1741155955.5970, LogicalClock=235, Info=From=2, SenderClock=234, QueueSizeAfter=8, OldLocalClock=234
[RECEIVE] SystemTime=1741155955.9341, LogicalClock=240, Info=From=2, SenderClock=239, QueueSizeAfter=8, OldLocalClock=235
[RECEIVE] SystemTime=1741155956.2721, LogicalClock=243, Info=From=2, SenderClock=242, QueueSizeAfter=7, OldLocalClock=240
[RECEIVE] SystemTime=1741155956.6115, LogicalClock=244, Info=From=2, SenderClock=243, QueueSizeAfter=6, OldLocalClock=243
[RECEIVE] SystemTime=1741155956.9517, LogicalClock=247, Info=From=2, SenderClock=246, QueueSizeAfter=5, OldLocalClock=244
[RECEIVE] SystemTime=1741155957.2901, LogicalClock=250, Info=From=2, SenderClock=249, QueueSizeAfter=4, OldLocalClock=247
[RECEIVE] SystemTime=1741155957.6297, LogicalClock=252, Info=From=2, SenderClock=251, QueueSizeAfter=4, OldLocalClock=250
[RECEIVE] SystemTime=1741155957.9654, LogicalClock=253, Info=From=2, SenderClock=252, QueueSizeAfter=4, OldLocalClock=252
[RECEIVE] SystemTime=1741155958.3000, LogicalClock=257, Info=From=2, SenderClock=256, QueueSizeAfter=5, OldLocalClock=253
[RECEIVE] SystemTime=1741155958.6363, LogicalClock=260, Info=From=2, SenderClock=259, QueueSizeAfter=5, OldLocalClock=257
[RECEIVE] SystemTime=1741155958.9755, LogicalClock=270, Info=From=2, SenderClock=269, QueueSizeAfter=6, OldLocalClock=260
[RECEIVE] SystemTime=1741155959.3149, LogicalClock=271, Info=From=2, SenderClock=270, QueueSizeAfter=6, OldLocalClock=270
[RECEIVE] SystemTime=1741155959.6509, LogicalClock=273, Info=From=2, SenderClock=272, QueueSizeAfter=5, OldLocalClock=271
[RECEIVE] SystemTime=1741155959.9874, LogicalClock=274, Info=From=2, SenderClock=273, QueueSizeAfter=6, OldLocalClock=273
[RECEIVE] SystemTime=1741155960.3254, LogicalClock=276, Info=From=2, SenderClock=275, QueueSizeAfter=6, OldLocalClock=274
[RECEIVE] SystemTime=1741155960.6628, LogicalClock=277, Info=From=2, SenderClock=276, QueueSizeAfter=7, OldLocalClock=276
[RECEIVE] SystemTime=1741155961.0012, LogicalClock=278, Info=From=2, SenderClock=277, QueueSizeAfter=7, OldLocalClock=277
[RECEIVE] SystemTime=1741155961.3407, LogicalClock=280, Info=From=2, SenderClock=279, QueueSizeAfter=6, OldLocalClock=278
[RECEIVE] SystemTime=1741155961.6801, LogicalClock=283, Info=From=2, SenderClock=282, QueueSizeAfter=6, OldLocalClock=280
[RECEIVE] SystemTime=1741155962.0148, LogicalClock=284, Info=From=2, SenderClock=283, QueueSizeAfter=6, OldLocalClock=283
[RECEIVE] SystemTime=1741155962.3508, LogicalClock=286, Info=From=2, SenderClock=285, QueueSizeAfter=6, OldLocalClock=284
[RECEIVE] SystemTime=1741155962.6869, LogicalClock=287, Info=From=2, SenderClock=286, QueueSizeAfter=6, OldLocalClock=286
[RECEIVE] SystemTime=1741155963.0253, LogicalClock=288, Info=From=2, SenderClock=287, QueueSizeAfter=6, OldLocalClock=287
[RECEIVE] SystemTime=1741155963.3627, LogicalClock=290, Info=From=2, SenderClock=289, QueueSizeAfter=7, OldLocalClock=288
[RECEIVE] SystemTime=1741155963.6985, LogicalClock=293, Info=From=2, SenderClock=292, QueueSizeAfter=8, OldLocalClock=290
[RECEIVE] SystemTime=1741155964.0343, LogicalClock=296, Info=From=2, SenderClock=295, QueueSizeAfter=9, OldLocalClock=293
[RECEIVE] SystemTime=1741155964.3700, LogicalClock=297, Info=From=2, SenderClock=296, QueueSizeAfter=9, OldLocalClock=296
[RECEIVE] SystemTime=1741155964.7095, LogicalClock=299, Info=From=2, SenderClock=298, QueueSizeAfter=9, OldLocalClock=297
