Machine 2 initialized. Clock rate=2
[RECEIVE] SystemTime=1740951026.6034, LogicalClock=185, Info=From=1, SenderClock=184, QueueSizeAfter=5, OldLocalClock=180
[RECEIVE] SystemTime=1740951027.1075, LogicalClock=190, Info=From=1, SenderClock=189, QueueSizeAfter=4, OldLocalClock=185
[RECEIVE] SystemTime=1740951027.6115, LogicalClock=191, Info=From=3, SenderClock=190, QueueSizeAfter=4, OldLocalClock=190
[RECEIVE] SystemTime=1740951028.1158, LogicalClock=193, Info=From=1, SenderClock=192, QueueSizeAfter=5, OldLocalClock=191
[RECEIVE] SystemTime=1740951028.6208, LogicalClock=194, Info=From=1, SenderClock=193, QueueSizeAfter=5, OldLocalClock=193
[RECEIVE] SystemTime=1740951029.1252, LogicalClock=195, Info=From=3, SenderClock=193, QueueSizeAfter=6, OldLocalClock=194
[RECEIVE] SystemTime=1740951029.6343, LogicalClock=205, Info=From=1, SenderClock=204, QueueSizeAfter=5, OldLocalClock=195
[RECEIVE] SystemTime=1740951030.1365, LogicalClock=208, Info=From=1, SenderClock=207, QueueSizeAfter=6, OldLocalClock=205
[RECEIVE] SystemTime=1740951030.6381, LogicalClock=210, Info=From=1, SenderClock=209, QueueSizeAfter=6, OldLocalClock=208
[RECEIVE] SystemTime=1740951031.1425, LogicalClock=213, Info=From=1, SenderClock=212, QueueSizeAfter=5, OldLocalClock=210
[RECEIVE] SystemTime=1740951031.6476, LogicalClock=214, Info=From=3, SenderClock=211, QueueSizeAfter=6, OldLocalClock=213
[RECEIVE] SystemTime=1740951032.1501, LogicalClock=216, Info=From=1, SenderClock=215, QueueSizeAfter=6, OldLocalClock=214
[RECEIVE] SystemTime=1740951032.6561, LogicalClock=218, Info=From=3, SenderClock=217, QueueSizeAfter=5, OldLocalClock=216
[RECEIVE] SystemTime=1740951033.1620, LogicalClock=220, Info=From=1, SenderClock=219, QueueSizeAfter=5, OldLocalClock=218
[RECEIVE] SystemTime=1740951033.6664, LogicalClock=222, Info=From=1, SenderClock=221, QueueSizeAfter=5, OldLocalClock=220
[RECEIVE] SystemTime=1740951034.1727, LogicalClock=227, Info=From=3, SenderClock=226, QueueSizeAfter=6, OldLocalClock=222
[RECEIVE] SystemTime=1740951034.6796, LogicalClock=228, Info=From=3, SenderClock=227, QueueSizeAfter=5, OldLocalClock=227
[RECEIVE] SystemTime=1740951035.1859, LogicalClock=232, Info=From=1, SenderClock=231, QueueSizeAfter=5, OldLocalClock=228
[RECEIVE] SystemTime=1740951035.6880, LogicalClock=237, Info=From=1, SenderClock=236, QueueSizeAfter=5, OldLocalClock=232
[RECEIVE] SystemTime=1740951036.1931, LogicalClock=242, Info=From=1, SenderClock=241, QueueSizeAfter=5, OldLocalClock=237
[RECEIVE] SystemTime=1740951036.6990, LogicalClock=244, Info=From=1, SenderClock=243, QueueSizeAfter=5, OldLocalClock=242
[RECEIVE] SystemTime=1740951037.2022, LogicalClock=245, Info=From=1, SenderClock=244, QueueSizeAfter=7, OldLocalClock=244
[RECEIVE] SystemTime=1740951037.7087, LogicalClock=249, Info=From=1, SenderClock=248, QueueSizeAfter=8, OldLocalClock=245
[RECEIVE] SystemTime=1740951038.2145, LogicalClock=252, Info=From=1, SenderClock=251, QueueSizeAfter=9, OldLocalClock=249
[RECEIVE] SystemTime=1740951038.7200, LogicalClock=253, Info=From=3, SenderClock=251, QueueSizeAfter=9, OldLocalClock=252
[RECEIVE] SystemTime=1740951039.2306, LogicalClock=259, Info=From=1, SenderClock=258, QueueSizeAfter=10, OldLocalClock=253
[RECEIVE] SystemTime=1740951039.7783, LogicalClock=261, Info=From=1, SenderClock=260, QueueSizeAfter=9, OldLocalClock=259
[RECEIVE] SystemTime=1740951040.2821, LogicalClock=262, Info=From=3, SenderClock=254, QueueSizeAfter=8, OldLocalClock=261
