Max internal event=4
Max clock speed=6
Machine 2 initialized. Clock rate=2
[SEND] SystemTime=1741155779.4025, LogicalClock=1, Info=To=3
[RECEIVE] SystemTime=1741155827.8589, LogicalClock=163, Info=From=3, SenderClock=162, QueueSizeAfter=76, OldLocalClock=162
[RECEIVE] SystemTime=1741155828.3619, LogicalClock=164, Info=From=1, SenderClock=160, QueueSizeAfter=80, OldLocalClock=163
[RECEIVE] SystemTime=1741155828.8681, LogicalClock=165, Info=From=1, SenderClock=162, QueueSizeAfter=80, OldLocalClock=164
[RECEIVE] SystemTime=1741155829.3745, LogicalClock=166, Info=From=3, SenderClock=165, QueueSizeAfter=80, OldLocalClock=165
[RECEIVE] SystemTime=1741155829.8785, LogicalClock=167, Info=From=3, SenderClock=166, QueueSizeAfter=79, OldLocalClock=166
[RECEIVE] SystemTime=1741155830.3848, LogicalClock=169, Info=From=3, SenderClock=168, QueueSizeAfter=80, OldLocalClock=167
[RECEIVE] SystemTime=1741155830.8882, LogicalClock=174, Info=From=3, SenderClock=173, QueueSizeAfter=81, OldLocalClock=169
[RECEIVE] SystemTime=1741155831.3945, LogicalClock=176, Info=From=3, SenderClock=175, QueueSizeAfter=84, OldLocalClock=174
[RECEIVE] SystemTime=1741155831.9006, LogicalClock=178, Info=From=3, SenderClock=177, QueueSizeAfter=85, OldLocalClock=176
[RECEIVE] SystemTime=1741155832.4069, LogicalClock=179, Info=From=1, SenderClock=177, QueueSizeAfter=86, OldLocalClock=178
[RECEIVE] SystemTime=1741155832.9116, LogicalClock=180, Info=From=1, SenderClock=178, QueueSizeAfter=88, OldLocalClock=179
[RECEIVE] SystemTime=1741155833.4174, LogicalClock=181, Info=From=3, SenderClock=179, QueueSizeAfter=91, OldLocalClock=180
[RECEIVE] SystemTime=1741155833.9232, LogicalClock=182, Info=From=3, SenderClock=180, QueueSizeAfter=93, OldLocalClock=181
[RECEIVE] SystemTime=1741155834.4285, LogicalClock=183, Info=From=3, SenderClock=181, QueueSizeAfter=94, OldLocalClock=182
[RECEIVE] SystemTime=1741155834.9349, LogicalClock=184, Info=From=3, SenderClock=183, QueueSizeAfter=95, OldLocalClock=183
[RECEIVE] SystemTime=1741155835.4390, LogicalClock=185, Info=From=1, SenderClock=184, QueueSizeAfter=96, OldLocalClock=184
[RECEIVE] SystemTime=1741155835.9451, LogicalClock=187, Info=From=3, SenderClock=186, QueueSizeAfter=96, OldLocalClock=185
[RECEIVE] SystemTime=1741155836.4513, LogicalClock=190, Info=From=3, SenderClock=189, QueueSizeAfter=98, OldLocalClock=187
[RECEIVE] SystemTime=1741155836.9588, LogicalClock=191, Info=From=3, SenderClock=190, QueueSizeAfter=101, OldLocalClock=190
[RECEIVE] SystemTime=1741155837.4603, LogicalClock=192, Info=From=1, SenderClock=190, QueueSizeAfter=101, OldLocalClock=191
[RECEIVE] SystemTime=1741155837.9624, LogicalClock=193, Info=From=3, SenderClock=192, QueueSizeAfter=102, OldLocalClock=192
[RECEIVE] SystemTime=1741155838.4687, LogicalClock=195, Info=From=3, SenderClock=194, QueueSizeAfter=103, OldLocalClock=193
[RECEIVE] SystemTime=1741155838.9724, LogicalClock=196, Info=From=1, SenderClock=193, QueueSizeAfter=104, OldLocalClock=195
